musicribe beatmap file

[General]
AudioFileName: audio.mp3
AudioLeadIn: 0
PreviewTime: 15
Countdown: 1
SampleSet: Normal
StackLeniency: 0.7
Mode: 0

[Metadata]
Title: Vampy Robit
TitleUnicode: Vampy Robit
Artist: cYsmix
ArtistUnicode: cYsmix
Creator: guyfrompoland
Version: Vamporoid

[Difficulty]
HPDrainRate: 6.9
OverallDifficulty: 5

[Events]
0,0,"bg.jpg",0,0

[TimingPoints]
-230,454.8900682335102,4,1,0,100,1,0
15680,455.23520485584214,4,1,0,100,1,0

[Colours]
Combo1: 87,7,7,255
Combo2: 222,48,48,255
Combo3: 151,67,67,255
Combo4: 255,255,255,255
Combo5: 0,0,0,255

[HitObjects]
111,50,1134,5,0,
400,54,1589,1,0,
254,222,2044,1,0,
284,92,2613,1,0,
254,145,2840,1,8,
254,112,2954,6,0,
223,92,2385,5,8,
235,321,4773,5,0,
287,322,5228,1,0,
256,361,5683,1,0,
235,212,6024,5,8,
253,353,6252,1,8,
248,212,6479,1,8,
270,209,6593,6,0,
430,315,7503,2,0,
251,346,8412,2,0,
82,245,9322,1,2,
77,209,9663,2,0,
257,192,10687,1,2,
260,247,11142,1,2,
261,316,11597,1,2,
257,229,12052,1,2,
250,189,12506,1,2,
251,156,12961,1,2,
255,145,13871,2,2,
247,110,15680,5,8,
201,192,16021,1,8,
238,198,16135,1,8,
102,185,16590,5,2,
224,183,16818,1,0,
332,183,17046,1,0,
446,191,17273,1,0,
457,280,17501,5,2,
425,111,17842,1,8,
393,129,17956,1,8,
382,36,18298,5,8,
347,59,18411,1,8,
261,117,18639,1,0,
178,189,18867,1,0,
105,253,19094,1,0,
153,250,19322,6,8,
371,150,20232,2,0,
261,116,21143,2,8,
121,96,22964,5,2,
242,96,23419,1,2,
153,205,23874,1,2,
319,96,24785,5,8,
465,90,25240,1,8,
379,197,25695,1,8,
189,145,26606,5,0,
309,149,27061,1,0,
331,256,27516,2,0,
181,321,29792,2,0,
341,313,30248,5,8,
377,224,30589,1,2,
408,237,30703,1,2,
436,147,31158,5,8,
330,152,31386,1,8,
227,152,31613,1,8,
137,150,31841,1,8,
66,148,32068,5,8,
129,272,32410,1,2,
150,251,32524,1,2,
254,333,32979,5,8,
251,255,33207,1,8,
245,162,33434,1,8,
249,239,33662,1,8,
246,153,33889,6,8,
265,177,34800,6,0,
254,195,35710,6,0,
234,177,36279,5,10,
264,177,36393,1,10,
250,204,36507,1,10,
231,237,36735,5,10,
268,239,36848,1,10,
249,271,36962,1,10,
249,311,37076,5,10,
256,222,37531,6,0,
256,101,37987,2,0,
158,92,38442,2,0,
243,116,38897,6,0,
356,76,39352,2,0,
252,133,39807,2,0,
256,192,41173,8,0,43677,
